"pop","CAR","CBI","CHL","CLK","COT","CPL","CYH","DCK","DEN","DPR","DUN","EDM","FBK","FIS","FNO","FRE","FTM","GAL","GAM","GIL","GPR","GRA","HAY","HBY","HST","HWK","INU","JKH","KAP","KUU","LAB","LON","LOV","LPD","MBK","MEL","MGR","MMT","MSG","MTN","NBY","NEG","NOM","NWL","OFR","OUT","POR","RAD","RMP","RNA","ROS","SKN","SLC","SOU","SRD","SSR","STL","STO","TIM","TUR","USDA_1","USDA_10","USDA_12","USDA_13","USDA_14","USDA_15","USDA_16","USDA_17","USDA_18","USDA_2","USDA_21","USDA_3","USDA_4","USDA_5","USDA_6","USDA_7","USDA_9","WHR","WLK","WOL","WTR"
"DUN",0.0241,0.1813,0.0263,0.0138,0.177,0.0281,0.1103,0.0161,0.0126,0.0365,0,0,0.0133,0.2995,0.155,0.1324,0.001,0.0098,0.0128,0.0353,0.0957,0.007,0.0061,0.0064,0,0.3243,0.1628,0.5788,0.0031,0.1591,0.265,0.0241,0.017,0.0358,0.3171,0.0167,0.2308,0.0139,0.4883,0.1582,0.0158,0.3054,0.0958,0.0892,0.0218,0.0366,0.0091,0.0952,0.2829,0.0274,0.2009,0.0055,0.0148,0,0,0.6078,0.0405,0.0134,0.0098,0.008,0.032,0.0056,0.0069,0,0.0322,0.0249,0.0435,0.0227,0.0416,0.0072,0.0444,0.0114,0,0.0156,0,0.0145,0,0.0497,0.1322,0.0293,0
"EDM",0,0.2062,0.0464,0.002,0.1386,0.0534,0.1012,0,0,0.0354,0,0,0.0028,0.3218,0.1556,0.1809,0,1e-04,0.0577,0.0042,0.0786,0.0034,0.0023,0,0.0189,0.3541,0.1274,0.5607,0.0045,0.1983,0.3011,0.0571,2e-04,0.0618,0.3454,0.0049,0.2657,0.0028,0.4695,0.1786,0.0337,0.3231,0.0632,0.0557,0,0.0367,0.0282,0.1321,0.2565,0.0218,0.2197,0,0.0164,0.0036,0,0.5862,0.0331,0.01,0.038,0,0.084,0.0398,0.053,0.0207,0.0756,0.0389,0.0619,0.067,0.0675,0.0427,0.0896,0.0578,0,0.0514,0.0412,0.0508,0.0367,0.0195,0.1246,0.0052,0.0292
"FBK",0.0171,0.2194,0.0774,0.0118,0.1329,0.0766,0.1128,0.0094,0.0052,0.0642,0.0133,0.0028,0,0.3143,0.1637,0.1845,0.0108,0,0.0758,0.0279,0.1004,0.0214,0.0103,0.0153,0.0436,0.3679,0.121,0.5843,0.0252,0.2135,0.3105,0.0962,0.0211,0.0994,0.3493,0.0311,0.2761,0.0192,0.4946,0.1645,0.0617,0.3372,0.0741,0.0336,0.0206,0.0433,0.0382,0.156,0.2733,0.0365,0.2269,0.0084,0.0341,0.0146,0,0.6144,0.0417,0.0123,0.0624,0.006,0.0726,0.0371,0.0691,0.0393,0.0833,0.0441,0.0661,0.0879,0.0839,0.0456,0.0933,0.085,0.0157,0.092,0.0406,0.0641,0.0526,0.0225,0.1368,0.0075,0.052
"FIS",0.3433,0.0863,0.2503,0.3526,0.4665,0.2814,0.3314,0.3415,0.36,0.28,0.2995,0.3218,0.3143,0,0.3303,0.0992,0.2999,0.3567,0.259,0.3648,0.3291,0.3082,0.3262,0.3134,0.3106,0.1004,0.4653,0.6351,0.2675,0.1099,0.1305,0.3144,0.3267,0.2523,0.0832,0.3284,0.1219,0.3478,0.561,0.1,0.2779,0.2974,0.4535,0.4189,0.3314,0.2813,0.2743,0.1278,0.4293,0.3051,0.1951,0.3255,0.2762,0.2779,0.288,0.6617,0.2557,0.3261,0.2763,0.3189,0.2257,0.2704,0.2706,0.2642,0.2547,0.2828,0.3555,0.3003,0.2421,0.3072,0.3028,0.2534,0.3084,0.2718,0.265,0.2868,0.2324,0.3841,0.3387,0.3558,0.2412
"FNO",0.1483,0.2217,0.1319,0.1497,0.2577,0.1276,0.019,0.1515,0.1404,0.1614,0.155,0.1556,0.1637,0.3303,0,0.2105,0.1137,0.1515,0.1517,0.1739,0.0256,0.1548,0.144,0.1113,0.1666,0.3633,0.2323,0.2927,0.1304,0.2491,0.3304,0.1587,0.1513,0.1644,0.3445,0.0996,0.2823,0.1491,0.1741,0.215,0.1177,0.2363,0.2074,0.1754,0.1346,0.0477,0.1076,0.1969,0.1191,0.168,0.1733,0.1241,0.1251,0.13,0.1322,0.3233,0.0942,0.1386,0.1821,0.102,0.1107,0.1326,0.1225,0.1135,0.134,0.1326,0.1559,0.1821,0.052,0.1431,0.1401,0.1339,0.1603,0.1787,0.1173,0.1366,0.1545,0.1721,0.0163,0.1573,0.1276
"FRE",0.1929,0.0706,0.0829,0.2005,0.3513,0.1088,0.1959,0.1855,0.2083,0.1395,0.1324,0.1809,0.1845,0.0992,0.2105,0,0.1369,0.2058,0.0836,0.2143,0.1909,0.155,0.1637,0.1654,0.1461,0.1085,0.3342,0.5644,0.1144,0.0089,0.0848,0.1282,0.1714,0.0771,0.0754,0.1658,0.0444,0.1809,0.4827,0.0317,0.1146,0.2347,0.3039,0.2682,0.1806,0.1389,0.1016,0.0392,0.3168,0.1593,0.1238,0.1618,0.1232,0.1096,0.1359,0.597,0.1112,0.1742,0.1296,0.174,0.0783,0.1254,0.1095,0.1022,0.0645,0.1516,0.1839,0.1125,0.0807,0.1399,0.1156,0.0772,0.1619,0.1074,0.0675,0.1113,0.0635,0.252,0.2143,0.2132,0.0797
"FTM",0.0044,0.1702,0.0172,0,0.1583,0.0263,0.0568,0,1e-04,0.0243,0.001,0,0.0108,0.2999,0.1137,0.1369,0,0.0032,0.0332,0.0097,0.0507,0.0032,0,0,0.0112,0.3219,0.1218,0.5198,0,0.1663,0.2674,0.0395,0,0.027,0.3046,0,0.2154,0,0.4339,0.1489,0.0082,0.2746,0.0834,0.0415,0.0077,0.0073,0,0.1103,0.2023,0.0353,0.169,0,0,0,0,0.5505,0.0097,0,0.0314,0,0.0391,0.0225,0.0256,0,0.0424,0.0356,0.0244,0.0393,0.0273,0.0059,0.0722,0.0358,0,0.0397,0,0.0127,0.0256,0.0353,0.0965,0.0203,0.0138
"GAL",0.0123,0.2346,0.0814,0,0.1062,0.0863,0.106,0,0,0.0639,0.0098,1e-04,0,0.3567,0.1515,0.2058,0.0032,0,0.0752,0.0098,0.0919,0.0155,0,0.0025,0.0355,0.396,0.0914,0.5842,0.0172,0.2367,0.3491,0.0827,0.0084,0.0987,0.3786,0.0209,0.2987,0.0029,0.4938,0.1929,0.0552,0.3468,0.0352,0.006,0.0035,0.0363,0.0283,0.1706,0.2741,0.0423,0.2377,0.0084,0.0302,0.0158,0.0039,0.6145,0.0511,0.0012,0.0731,0,0.0819,0.0367,0.0566,0.032,0.0682,0.0515,0.0332,0.0952,0.0882,0.0294,0.1121,0.0734,0.0076,0.1064,0.0463,0.0456,0.0685,0.009,0.1422,0,0.0472
"GAM",0.0752,0.1498,0,0.0617,0.2436,0.0044,0.1252,0.0678,0.0773,0.032,0.0128,0.0577,0.0758,0.259,0.1517,0.0836,0.0332,0.0752,0,0.0832,0.1207,0.047,0.0485,0.0415,0.0131,0.2759,0.2147,0.566,0.0081,0.1152,0.2259,0,0.0679,0.0081,0.2616,0.0432,0.1727,0.0462,0.471,0.1296,0,0.2543,0.1842,0.1646,0.0678,0.0413,0.0148,0.0612,0.2635,0.0568,0.153,0.0452,0.0066,0.0018,0.0485,0.592,0.0491,0.0562,0.0024,0.0527,0.0214,0.0163,0,0,0.0245,0.0322,0.0599,0,0.0032,0.0185,0.0347,0,0.0218,0,0,0.0068,0,0.1243,0.1493,0.0858,0
"GIL",0,0.2418,0.0813,0.0197,0.1347,0.092,0.1106,0.0071,0,0.0365,0.0353,0.0042,0.0279,0.3648,0.1739,0.2143,0.0097,0.0098,0.0832,0,0.1008,0.0237,0.0159,0,0.035,0.3952,0.1101,0.5778,0.0111,0.2268,0.3353,0.0772,0.0064,0.0918,0.3849,0.0168,0.2965,0.0068,0.4895,0.1966,0.0433,0.3611,0.0782,0.0496,0,0.0527,0.035,0.1791,0.2664,0.043,0.2538,0.0178,0.0274,0.0342,0.0205,0.6015,0.0452,0.005,0.0646,0.0189,0.0885,0.0439,0.0607,0.0319,0.0811,0.0641,0.0437,0.0935,0.084,0.041,0.1334,0.074,0.0121,0.0955,0.0346,0.0441,0.0762,0.0169,0.1553,0.0143,0.0622
