"pop","CAR","CBI","CHL","CLK","COT","CPL","CYH","DCK","DEN","DPR","DUN","EDM","FBK","FIS","FNO","FRE","FTM","GAL","GAM","GIL","GPR","GRA","HAY","HBY","HST","HWK","INU","JKH","KAP","KUU","LAB","LON","LOV","LPD","MBK","MEL","MGR","MMT","MSG","MTN","NBY","NEG","NOM","NWL","OFR","OUT","POR","RAD","RMP","RNA","ROS","SKN","SLC","SOU","SRD","SSR","STL","STO","TIM","TUR","USDA_1","USDA_10","USDA_12","USDA_13","USDA_14","USDA_15","USDA_16","USDA_17","USDA_18","USDA_2","USDA_21","USDA_3","USDA_4","USDA_5","USDA_6","USDA_7","USDA_9","WHR","WLK","WOL","WTR"
"USDA_18",0.0756,0.1428,0.0011,0.0699,0.2287,0.0197,0.039,0.0815,0.0669,0.0499,0.0416,0.0675,0.0839,0.2421,0.052,0.0807,0.0273,0.0882,0.0032,0.084,0.0427,0.0575,0.0551,0.0332,0.0485,0.2594,0.19,0.4356,0.015,0.1201,0.2153,0.0074,0.0647,0.0173,0.2461,0.0257,0.1536,0.0605,0.3234,0.1207,0,0.2032,0.1751,0.1479,0.0587,0.0015,0.0044,0.0864,0.1625,0.0738,0.1226,0.0337,0.0114,0.017,0.048,0.4569,0.027,0.0486,0.0475,0.0245,0,0.0164,0,0,0.0091,0.0254,0.0456,0.0324,0,0.009,0,0,0.0626,0.0129,0,0.0145,0,0.1121,0.0561,0.0986,0.0278
"USDA_2",0.0288,0.1744,0.0273,0.0084,0.1814,0.0585,0.0961,0.0355,0.0251,0.0214,0.0072,0.0427,0.0456,0.3072,0.1431,0.1399,0.0059,0.0294,0.0185,0.041,0.1028,0.0074,0.0086,0.0102,0.0079,0.3147,0.137,0.5632,0.0069,0.1592,0.2735,0.0129,0.0186,0.0305,0.3142,0.0225,0.2038,0.0151,0.4707,0.157,0,0.2779,0.1279,0.0854,0.0397,0.0197,8e-04,0.1189,0.2693,0.0422,0.1758,0.0234,0.0057,0,0.0263,0.5932,0.0477,0,0.0346,0.0148,0,0,0,0,0.019,0.012,0,0.0242,0.009,0,0.0778,0,0.0034,0.0205,0,0,0,0.0602,0.1442,0.0548,0.0175
"USDA_21",0.1131,0.221,0.0474,0.1142,0.2708,0.0428,0.1248,0.1111,0.0994,0.1032,0.0444,0.0896,0.0933,0.3028,0.1401,0.1156,0.0722,0.1121,0.0347,0.1334,0.1122,0.0927,0.0976,0.0787,0.0925,0.3208,0.2536,0.5546,0.0542,0.1812,0.2927,0.0543,0.102,0.0557,0.3078,0.0718,0.2304,0.0955,0.4464,0.1752,0.0596,0.291,0.2253,0.179,0.0837,0.0587,0.0476,0.1196,0.2665,0.0901,0.1953,0.0382,0.0714,0.0325,0.0607,0.585,0.072,0.116,0.0872,0.0598,0.0237,0.0342,0.0483,0.0433,0.0159,0.0688,0.1252,0.0569,0,0.0778,0,0.033,0.0998,0.0554,0,0.0896,0.0176,0.1593,0.1292,0.1229,0.0508
"USDA_3",0.0745,0.1516,0.0038,0.059,0.2361,0.0324,0.1089,0.0737,0.0707,0.0291,0.0114,0.0578,0.085,0.2534,0.1339,0.0772,0.0358,0.0734,0,0.074,0.1132,0.0341,0.0589,0.0395,0.0043,0.2762,0.2069,0.5532,0.0121,0.1138,0.217,0,0.056,0,0.27,0.0496,0.1694,0.0491,0.4567,0.1306,0,0.2607,0.1889,0.1554,0.0503,0.0457,0.0063,0.0721,0.2794,0.0619,0.1569,0.0378,0.012,0,0.0492,0.5815,0.045,0.0511,0.0274,0.034,0,0,0,0,0,0.0051,0.034,0.0071,0,0,0.033,0,0.0078,0,0,0,0,0.1197,0.1502,0.0784,0.0039
"USDA_4",0.0062,0.1982,0.0219,0.0016,0.1744,0.0337,0.1128,0.004,0.0244,0.012,0,0,0.0157,0.3084,0.1603,0.1619,0,0.0076,0.0218,0.0121,0.0982,0.0114,0.0048,0.0017,0,0.3481,0.1498,0.5811,0,0.1797,0.2824,0.0251,0.0156,0.0387,0.3429,0.017,0.2579,1e-04,0.4974,0.1737,0.0086,0.3032,0.1182,0.0838,0.0226,0.0412,0.013,0.1185,0.2799,0.0418,0.1955,0.0248,0,0,0.0111,0.6126,0.0293,0,0.0098,0.0224,0.0384,0,0,0,0.0279,0.0187,0.0102,0.0204,0.0626,0.0034,0.0998,0.0078,0,0.0137,0.0063,0,0,0.0523,0.1515,0.0151,0.0074
"USDA_5",0.0784,0.181,0,0.0606,0.283,0.0235,0.1407,0.077,0.0777,0.0455,0.0156,0.0514,0.092,0.2718,0.1787,0.1074,0.0397,0.1064,0,0.0955,0.131,0.0391,0.0586,0.0446,0.0241,0.2784,0.2453,0.5815,0.0287,0.1267,0.2029,0,0.0599,0.0016,0.2835,0.0504,0.1894,0.0595,0.4933,0.1624,0,0.2614,0.2004,0.1961,0.0841,0.0631,0.0253,0.0782,0.3145,0.054,0.1664,0.0594,0.0177,0,0.0566,0.6075,0.0542,0.0573,0.0067,0.0572,0.0404,0.0245,0.0155,0,0.0329,0.034,0.075,0,0.0129,0.0205,0.0554,0,0.0137,0,0,0.0207,0,0.1447,0.1544,0.0999,0
"USDA_6",0.0266,0.1522,0,0.0372,0.2193,0.008,0.0891,0.0396,0.0242,0.0041,0,0.0412,0.0406,0.265,0.1173,0.0675,0,0.0463,0,0.0346,0.0835,0.0066,0.0202,0.0067,0.004,0.282,0.1822,0.5483,0,0.1086,0.2086,0,0.0148,0,0.2758,0.0157,0.1534,0,0.454,0.1229,0,0.2634,0.168,0.1115,0.02,0.0052,0,0.085,0.2567,0.021,0.1499,0.0069,0,0,0.0097,0.5775,0,0.0096,0,0.01,0,0,0,0,0,0.0128,0.0112,0,0,0,0,0,0.0063,0,0,0,0,0.0831,0.1194,0.0621,0
"USDA_7",0.0502,0.1767,0.0129,0.0338,0.2155,0.0376,0.0978,0.0409,0.0543,0.0186,0.0145,0.0508,0.0641,0.2868,0.1366,0.1113,0.0127,0.0456,0.0068,0.0441,0.0959,0.0413,0.0256,0.0166,0.0165,0.3056,0.1755,0.5459,0.0017,0.1421,0.2399,0,0.0337,0.0134,0.2989,0.0403,0.2145,0.0315,0.4639,0.1324,0,0.2643,0.1661,0.1182,0.0459,0.0294,0,0.1087,0.2596,0.0686,0.1574,0.0561,0,0,0.0418,0.58,0.0352,0.0027,0.0346,0.0495,0,0,0,0,0,0.0471,0,0.0271,0.0145,0,0.0896,0,0,0.0207,0,0,0,0.0999,0.1504,0.0826,0.0044
"USDA_9",0.0536,0.1571,0,0.0453,0.2355,0.0116,0.1169,0.0614,0.0579,0.0109,0,0.0367,0.0526,0.2324,0.1545,0.0635,0.0256,0.0685,0,0.0762,0.1044,0.0161,0.0428,0.0332,0.0109,0.256,0.2197,0.5674,0.0085,0.0882,0.2057,0,0.0487,0,0.2503,0.0389,0.171,0.0423,0.4759,0.1162,0.0039,0.2653,0.1849,0.1649,0.0572,0.0375,0.0143,0.0538,0.2891,0.0421,0.1591,0.0368,0.0155,0,0.027,0.6018,0.0291,0.0456,0,0.0419,0,0,0,0,0,0.034,0.0512,0,0,0,0.0176,0,0,0,0,0,0,0.1019,0.1368,0.0654,0
"WHR",0.0278,0.256,0.1203,0.0285,0.1169,0.1374,0.1198,0.0285,0.001,0.0673,0.0497,0.0195,0.0225,0.3841,0.1721,0.252,0.0353,0.009,0.1243,0.0169,0.104,0.0423,0.0354,0.0385,0.0664,0.4188,0.1102,0.5781,0.0486,0.2622,0.3756,0.1292,0.0491,0.1393,0.4053,0.0483,0.3268,0.0369,0.4892,0.2235,0.0856,0.3747,0.0446,0.0424,0.0248,0.0577,0.0745,0.2144,0.2913,0.0748,0.2704,0.04,0.0676,0.054,0.0262,0.6053,0.0912,0.0241,0.1039,0.025,0.1179,0.0906,0.1067,0.0727,0.1334,0.1049,0.0766,0.1449,0.1121,0.0602,0.1593,0.1197,0.0523,0.1447,0.0831,0.0999,0.1019,0,0.1454,0.0206,0.1022
"WLK",0.13,0.2438,0.1147,0.1424,0.2562,0.1277,0.0195,0.1428,0.1198,0.1652,0.1322,0.1246,0.1368,0.3387,0.0163,0.2143,0.0965,0.1422,0.1493,0.1553,0.0021,0.1336,0.1316,0.1007,0.1609,0.3646,0.2331,0.3106,0.1251,0.2496,0.3286,0.1673,0.1426,0.1606,0.3483,0.0774,0.289,0.136,0.2154,0.2284,0.1186,0.2449,0.1895,0.1714,0.122,0.0458,0.1049,0.2033,0.1388,0.1462,0.1844,0.1055,0.122,0.1185,0.1024,0.3327,0.0752,0.1317,0.1635,0.0977,0.1396,0.1411,0.1381,0.1216,0.1431,0.1421,0.1616,0.1599,0.0561,0.1442,0.1292,0.1502,0.1515,0.1544,0.1194,0.1504,0.1368,0.1454,0,0.1313,0.129
"WOL",0.0059,0.2515,0.0804,0.0186,0.1262,0.0858,0.1076,0.0213,6e-04,0.0713,0.0293,0.0052,0.0075,0.3558,0.1573,0.2132,0.0203,0,0.0858,0.0143,0.0922,0.0172,0.0159,0.0141,0.054,0.4005,0.1096,0.5764,0.0355,0.2383,0.3578,0.0986,0.0259,0.1164,0.3853,0.0127,0.3044,0.0128,0.4856,0.2001,0.0661,0.3504,0.0543,0.035,0.0073,0.0495,0.049,0.179,0.2739,0.0458,0.2457,0.0108,0.0416,0.0276,0.0167,0.6043,0.0459,0.0286,0.0791,0.0117,0.0989,0.0492,0.0867,0.0353,0.0787,0.0581,0.075,0.0902,0.0986,0.0548,0.1229,0.0784,0.0151,0.0999,0.0621,0.0826,0.0654,0.0206,0.1313,0,0.0537
"WTR",0.042,0.1415,0.0071,0.0368,0.1991,0.0094,0.0995,0.031,0.0447,0.025,0,0.0292,0.052,0.2412,0.1276,0.0797,0.0138,0.0472,0,0.0622,0.088,0.0187,0.0201,0.0183,0.0101,0.2611,0.1737,0.5383,0.0104,0.1119,0.2083,0.0107,0.0203,0.0128,0.2525,0.0229,0.1725,0.0293,0.4456,0.1027,0.0033,0.2384,0.1324,0.1078,0.033,0.0322,0.006,0.06,0.2452,0.0252,0.14,0.0253,0.0045,0,0.0176,0.5672,0.0276,0.0354,0.0233,0.0311,0.0225,0.0169,0.0126,0,0.0013,0.0103,0.0483,0,0.0278,0.0175,0.0508,0.0039,0.0074,0,0,0.0044,0,0.1022,0.129,0.0537,0
